sapCode;shopName;shopAddress;workingHours
LE21;СРТ Базарный Карабулак;412602, Саратовская обл, Базарно-Карабулакский р-н, Базарный Карабулак рп, Ленина ул, дом № 120а;Пн-Вс (08:00-19:00)
LD65;НН Кстово2;607650, Нижегородская обл, Кстовский р-н, Кстово г, 40 лет Октября ул, дом № 14;Пн-Вс (10:00-19:00)
LT26;Чита Рокоссовского;672042, Забайкальский край, Чита г, Маршала Рокоссовского ул, 16г Павильон;Пн-Вс (09:00-21:00)
L221;Балашиха9;143900, Московская обл, Балашиха г, Советская ул, дом № 11 А, корпус 2;Пн-Вс (09:00-21:00)
GD58;Члб Магнитогорск17;455038, Челябинская обл, Магнитогорск г, Карла Маркса пр-кт, дом № 153 ТК "Гостинный двор";Пн-Вс (10:00-21:00)
LT32;Чита Центральный рынок;672007, Забайкальский край, Чита г, Бабушкина ул, дом № 98 Рядом с Центральным рынком;Пн-Вс (09:00-21:00)
YB09;Калач;397600, Воронежская обл, Калачеевский р-н, Калач г, Колхозного Рынка пл Центральный вход, 150 м по направлению на запад от здания №27;Пн-Вс (08:00-18:30)
YC33;Павловск2;396420, Воронежская обл, Павловский р-н, Павловск г, Гранитный мкр, дом № 6а;Пн-Вс (08:00-19:00)
GB34;Крг Вильмс2;640000, Курганская обл, Курган г, Куйбышева ул, дом № 72, корпус Б ТЦ Даниловский;Пн-Вс (09:00-21:00)
GB20;ЕК Талица;623640, Свердловская обл, Талицкий р-н, Талица г, Васильева ул, дом № 1, корпус Д;Пн-Вс (08:00-19:30)
LS71;НСО Татарск Ленина;632122, Новосибирская обл, Татарск г, Ленина ул, дом № 103, корпус г/1 Привокзальная площадь;Пн-Вс (09:00-20:00)
GB02;ЕК Верхняя Пышма2;624090, Свердловская обл, Верхняя Пышма г, Успенский пр-кт, дом № 44;Пн-Вс (10:00-20:00)
LD95;НН ТЦ Муравей2;603034, Нижегородская обл, Нижний Новгород г, Ленина пр-кт, дом № 33, 1-этаж, помещение П18 ТЦ Муравей, 1 этаж, пом. П18;Пн-Вс (09:00-20:45)
YD36;Углич;152615, Ярославская обл, Углич г, Ростовская ул, дом № 1-3;Пн-Вс (09:00-20:00)
LQ45;ИМ Новосибирск 000;630132, Новосибирская обл, Новосибирск г, Челюскинцев ул, дом № 15;Пн-Вс (09:00-21:00)
LD20;Кир ТЦ Олимп;610004, Кировская обл, Киров г, Советская ул, дом № 28 ТЦ Олимп;Пн-Вс (09:00-20:00)
